,fit_time,score_time,test_score,train_score
0,0.5997214317321777,0.04411721229553223,-95.84678131557449,-95.43983333253054
1,0.534553050994873,0.03410744667053223,-95.72849727319372,-95.46931429231097
2,0.534745454788208,0.03613567352294922,-95.62228350467464,-95.49579859719724
3,0.5329821109771729,0.033098697662353516,-95.11735665808928,-95.62211578768226
4,0.5330533981323242,0.034093618392944336,-95.75894930986628,-95.4616311153584
5,0.5246953964233398,0.03506779670715332,-95.33445559701843,-95.56785432905355
6,0.5274960994720459,0.03228616714477539,-94.85499647639936,-95.68770191756892
7,0.5712120532989502,0.037099361419677734,-95.41523863428822,-95.54761776281663
8,0.5909655094146729,0.04010653495788574,-94.25960480013963,-95.83648978966605
9,0.5252625942230225,0.03405261039733887,-96.07982213398448,-95.38140314180525
